agent_id,detected,ground_truth,detection_correct
agent_0000,True,True,True
agent_0001,True,True,True
agent_0002,True,True,True
agent_0003,False,False,True
agent_0004,True,True,True
agent_0005,False,False,True
agent_0006,True,True,True
agent_0007,False,False,True
agent_0008,False,False,True
agent_0009,False,False,True
agent_0010,True,True,True
agent_0011,True,True,True
agent_0012,False,False,True
agent_0013,False,False,True
agent_0014,True,True,True
agent_0015,False,False,True
agent_0016,True,True,True
agent_0017,True,True,True
agent_0018,False,False,True
agent_0019,True,True,True
agent_0020,False,False,True
agent_0021,False,False,True
agent_0022,True,True,True
agent_0023,True,True,True
agent_0024,False,False,True
agent_0025,False,False,True
agent_0026,True,True,True
agent_0027,False,False,True
agent_0028,False,False,True
agent_0029,False,False,True
agent_0030,False,False,True
agent_0031,True,True,True
agent_0032,True,True,True
agent_0033,True,True,True
agent_0034,False,False,True
agent_0035,True,True,True
agent_0036,False,False,True
agent_0037,False,False,True
agent_0038,True,True,True
agent_0039,True,True,True
agent_0040,True,True,True
agent_0041,True,True,True
agent_0042,False,False,True
agent_0043,False,False,True
agent_0044,False,False,True
agent_0045,True,True,True
agent_0046,False,False,True
agent_0047,False,False,True
agent_0048,False,False,True
agent_0049,False,False,True
agent_0050,False,False,True
agent_0051,True,True,True
agent_0052,True,True,True
agent_0053,False,False,True
agent_0054,True,True,True
agent_0055,False,False,True
agent_0056,False,False,True
agent_0057,True,True,True
agent_0058,True,True,True
agent_0059,False,False,True
agent_0060,False,False,True
agent_0061,True,True,True
agent_0062,False,False,True
agent_0063,False,False,True
agent_0064,True,True,True
agent_0065,False,False,True
agent_0066,False,False,True
agent_0067,False,False,True
agent_0068,True,True,True
agent_0069,True,True,True
agent_0070,False,False,True
agent_0071,True,True,True
agent_0072,True,True,True
agent_0073,False,False,True
agent_0074,True,True,True
agent_0075,False,False,True
agent_0076,False,False,True
agent_0077,False,False,True
agent_0078,False,False,True
agent_0079,True,True,True
agent_0080,False,False,True
agent_0081,False,False,True
agent_0082,False,False,True
agent_0083,False,False,True
agent_0084,False,False,True
agent_0085,True,True,True
agent_0086,False,False,True
agent_0087,False,False,True
agent_0088,False,False,True
agent_0089,True,True,True
agent_0090,False,False,True
agent_0091,True,True,True
agent_0092,False,False,True
agent_0093,True,True,True
agent_0094,False,False,True
agent_0095,False,False,True
agent_0096,True,True,True
agent_0097,False,False,True
agent_0098,True,True,True
agent_0099,False,False,True
agent_0100,False,False,True
agent_0101,True,True,True
agent_0102,False,False,True
agent_0103,True,True,True
agent_0104,True,True,True
agent_0105,True,True,True
agent_0106,True,True,True
agent_0107,True,True,True
agent_0108,True,True,True
agent_0109,False,False,True
agent_0110,False,False,True
agent_0111,False,False,True
agent_0112,False,False,True
agent_0113,True,True,True
agent_0114,False,False,True
agent_0115,True,True,True
agent_0116,True,True,True
agent_0117,False,False,True
agent_0118,False,False,True
agent_0119,False,False,True
agent_0120,False,False,True
agent_0121,False,False,True
agent_0122,True,True,True
agent_0123,False,False,True
agent_0124,False,False,True
agent_0125,False,False,True
agent_0126,True,True,True
agent_0127,True,True,True
agent_0128,False,False,True
agent_0129,True,True,True
agent_0130,False,False,True
agent_0131,False,False,True
agent_0132,True,True,True
agent_0133,False,False,True
agent_0134,False,False,True
agent_0135,True,True,True
agent_0136,False,False,True
agent_0137,False,False,True
agent_0138,False,False,True
agent_0139,False,False,True
agent_0140,False,False,True
agent_0141,True,True,True
agent_0142,False,False,True
agent_0143,True,True,True
agent_0144,False,False,True
agent_0145,True,True,True
agent_0146,False,False,True
agent_0147,False,False,True
agent_0148,False,False,True
agent_0149,True,True,True
agent_0150,False,False,True
agent_0151,False,False,True
agent_0152,False,False,True
agent_0153,False,False,True
agent_0154,False,False,True
agent_0155,True,True,True
agent_0156,True,True,True
agent_0157,False,False,True
agent_0158,True,True,True
agent_0159,False,False,True
agent_0160,False,False,True
agent_0161,False,False,True
agent_0162,True,True,True
agent_0163,False,False,True
agent_0164,True,True,True
agent_0165,False,False,True
agent_0166,False,False,True
agent_0167,False,False,True
agent_0168,False,False,True
agent_0169,True,True,True
agent_0170,True,True,True
agent_0171,False,False,True
agent_0172,False,False,True
agent_0173,False,False,True
agent_0174,False,False,True
agent_0175,True,True,True
agent_0176,False,False,True
agent_0177,False,False,True
agent_0178,True,True,True
agent_0179,False,False,True
agent_0180,False,False,True
agent_0181,False,False,True
agent_0182,False,False,True
agent_0183,False,False,True
agent_0184,False,False,True
agent_0185,False,False,True
agent_0186,False,False,True
agent_0187,False,False,True
agent_0188,False,False,True
agent_0189,True,True,True
agent_0190,False,False,True
agent_0191,False,False,True
agent_0192,False,False,True
agent_0193,True,True,True
agent_0194,False,False,True
agent_0195,False,False,True
agent_0196,False,False,True
agent_0197,False,False,True
agent_0198,True,True,True
agent_0199,False,False,True
